City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Liverpool,GB,53.41,-2.98,52.0,71,40,19.46,shower rain
83,Steinkjer,NO,64.19,11.39,50.0,87,75,5.82,broken clouds
84,Olavarria,AR,-36.89,-60.32,64.22,40,0,15.77,clear sky
85,Hithadhoo,MV,-0.6,73.08,83.3,75,57,10.02,light rain
86,Caucaia,BR,-3.74,-38.65,86.0,62,40,13.87,scattered clouds
87,Bubaque,GW,11.28,-15.83,82.2,72,21,7.61,few clouds
88,Morros,BR,-9.45,-46.3,103.37,17,7,4.47,clear sky
89,Bredasdorp,ZA,-34.53,20.04,59.0,62,76,14.99,broken clouds
90,Severo-Kurilsk,RU,50.68,156.12,45.84,78,47,13.69,scattered clouds
91,Atuona,PF,-9.8,-139.03,77.68,75,4,19.69,clear sky
92,Kirakira,SB,-10.45,161.92,78.84,83,19,8.3,light rain
93,Georgetown,MY,5.41,100.34,78.8,94,20,3.36,few clouds
94,Kapaa,US,22.08,-159.32,75.2,83,40,5.82,scattered clouds
95,Cherskiy,RU,68.75,161.3,22.87,96,79,8.03,broken clouds
96,Avarua,CK,-21.21,-159.78,75.2,88,67,10.29,broken clouds
97,Sept-Iles,CA,50.2,-66.38,44.01,38,75,19.46,broken clouds
98,Sao Filipe,CV,14.9,-24.5,84.18,66,0,13.65,clear sky
99,Yellowknife,CA,62.46,-114.35,39.2,93,90,13.87,light rain
100,Kodiak,US,57.79,-152.41,44.6,81,90,5.82,overcast clouds
101,Upernavik,GL,72.79,-56.15,34.99,77,63,8.86,broken clouds
102,Padang,ID,-0.95,100.35,77.74,77,100,3.02,moderate rain
103,Shimoda,JP,34.67,138.95,66.2,88,90,11.41,moderate rain
104,Fort Nelson,CA,58.81,-122.7,28.4,92,75,3.36,broken clouds
105,Indija,IN,20.0,77.0,76.96,83,100,4.52,overcast clouds
106,Qarchi Gak,AF,37.04,66.79,62.01,35,75,2.24,broken clouds
107,Rocha,UY,-34.48,-54.33,68.31,46,48,16.15,scattered clouds
108,Cape Town,ZA,-33.93,18.42,60.01,54,20,19.46,few clouds
109,Cabatuan,PH,10.88,122.49,76.06,88,100,2.48,overcast clouds
110,Prince Rupert,CA,54.32,-130.32,46.4,81,90,5.82,overcast clouds
111,Yumen,CN,40.28,97.2,45.61,52,12,3.96,few clouds
112,Eureka,US,40.8,-124.16,55.99,94,17,1.99,few clouds
113,Geraldton,AU,-28.77,114.6,60.8,82,21,11.41,few clouds
114,Tuktoyaktuk,CA,69.45,-133.04,32.0,95,90,6.93,overcast clouds
115,Saint George,US,37.1,-113.58,66.2,32,1,4.97,clear sky
116,Hilo,US,19.73,-155.09,69.8,56,1,9.17,clear sky
117,Ponta Do Sol,PT,32.67,-17.1,75.2,64,40,11.41,scattered clouds
118,Butaritari,KI,3.07,172.79,81.82,76,66,14.34,broken clouds
119,Saskylakh,RU,71.92,114.08,11.37,92,98,4.21,overcast clouds
120,Lanzhou,CN,36.06,103.79,63.0,61,98,3.91,overcast clouds
121,Ilulissat,GL,69.22,-51.1,41.0,48,20,9.17,few clouds
122,Cuamba,MZ,-14.8,36.54,84.07,40,59,4.38,broken clouds
123,Castro,BR,-24.79,-50.01,67.62,90,94,3.33,light rain
124,Lagoa,PT,39.05,-27.98,71.53,80,0,2.19,clear sky
125,Norman Wells,CA,65.28,-126.83,33.8,87,75,3.36,broken clouds
126,Camapua,BR,-19.53,-54.04,105.8,14,45,15.17,scattered clouds
127,Ko Samui,TH,9.54,99.94,80.6,83,20,13.18,light rain
128,San Vicente,AR,-26.62,-54.13,59.76,92,99,3.69,heavy intensity rain
129,Umm Kaddadah,SD,13.6,26.69,97.27,15,0,0.76,clear sky
