City_ID,city,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Khatanga,RU,2020-10-09 05:57:47,71.97,102.5,19.9,97,97,11.86
70,Guerrero Negro,MX,2020-10-09 05:57:54,27.98,-114.06,69.3,81,0,11.5
71,Tautira,PF,2020-10-09 05:57:54,-17.73,-149.15,80.6,61,20,5.82
72,Voh,NC,2020-10-09 05:57:54,-20.97,164.7,78.44,63,99,5.84
73,Halifax,CA,2020-10-09 05:55:35,44.65,-63.57,44.01,64,0,3.0
74,Lompoc,US,2020-10-09 05:57:54,34.64,-120.46,60.8,77,90,5.82
75,Namanyere,TZ,2020-10-09 05:57:54,-7.52,31.05,75.63,46,97,1.81
76,Kanker,IN,2020-10-09 05:57:54,20.27,81.49,87.53,64,13,3.89
77,Khurba,RU,2020-10-09 05:57:54,50.41,136.88,51.8,61,0,8.52
78,Dalnegorsk,RU,2020-10-09 05:57:54,44.56,135.57,60.08,45,58,3.71
79,Bethel,US,2020-10-09 05:57:49,41.37,-73.41,43.0,93,1,3.36
80,Viesite,LV,2020-10-09 05:57:55,56.35,25.56,50.2,83,97,6.64
81,Elizabeth City,US,2020-10-09 05:53:06,36.29,-76.25,64.4,77,1,4.7
82,Sakaraha,MG,2020-10-09 05:57:55,-22.9,44.53,79.34,39,0,7.11
83,Tolu,CO,2020-10-09 05:57:55,9.52,-75.58,77.5,80,51,3.13
84,East London,ZA,2020-10-09 05:57:40,-33.02,27.91,62.6,93,75,6.93
85,Okha,RU,2020-10-09 05:57:42,53.57,142.95,49.62,66,0,15.86
86,Kaitangata,NZ,2020-10-09 05:57:55,-46.28,169.85,55.0,70,0,10.0
87,Klaksvik,FO,2020-10-09 05:57:55,62.23,-6.59,37.4,86,8,8.16
88,Taos,US,2020-10-09 05:57:55,36.41,-105.57,51.8,15,1,4.7
89,Tuatapere,NZ,2020-10-09 05:57:56,-46.13,167.68,57.0,56,10,4.0
90,Makakilo City,US,2020-10-09 05:53:29,21.35,-158.09,80.6,65,1,4.7
91,Muros,ES,2020-10-09 05:57:56,42.78,-9.06,54.0,95,69,1.01
92,Alugan,PH,2020-10-09 05:57:56,12.22,125.48,82.51,78,99,3.71
93,Mana,GF,2020-10-09 05:57:56,5.66,-53.78,78.75,85,0,8.46
94,Ahipara,NZ,2020-10-09 05:57:51,-35.17,173.17,58.28,72,96,14.76
95,Raudeberg,NO,2020-10-09 05:57:56,61.99,5.14,46.0,95,100,9.55
96,Nikolskoye,RU,2020-10-09 05:57:53,59.7,30.79,55.0,93,20,4.47
97,Kingaroy,AU,2020-10-09 05:57:56,-26.53,151.83,87.8,29,40,10.29
98,Ilhabela,BR,2020-10-09 05:57:56,-23.78,-45.36,70.9,90,99,7.72
99,Ribeira Grande,PT,2020-10-09 05:57:57,38.52,-28.7,70.34,89,8,12.06
100,Smolenka,RU,2020-10-09 05:57:57,52.14,113.5,42.8,75,90,6.71
101,Honningsvag,NO,2020-10-09 05:57:57,70.98,25.97,50.0,87,72,12.75
102,Hami,CN,2020-10-09 05:57:57,42.8,93.45,63.18,24,0,1.66
103,Mackay,AU,2020-10-09 05:57:57,-21.15,149.2,81.0,61,5,13.87
104,Shimoda,JP,2020-10-09 05:57:51,34.67,138.95,64.99,93,75,29.97
105,Ilulissat,GL,2020-10-09 05:57:49,69.22,-51.1,35.6,51,69,5.82
106,Yuzhno-Kurilsk,RU,2020-10-09 05:57:57,44.03,145.86,56.05,55,0,9.6
107,Oranjemund,NA,2020-10-09 05:57:57,-28.55,16.43,57.52,78,50,14.81
108,Longyearbyen,SJ,2020-10-09 05:57:50,78.22,15.64,35.6,83,75,3.36
109,Copiapo,CL,2020-10-09 05:57:58,-27.37,-70.33,51.8,87,72,5.82
110,Antofagasta,CL,2020-10-09 05:54:21,-23.65,-70.4,57.2,82,90,5.82
111,Bandarbeyla,SO,2020-10-09 05:57:58,9.49,50.81,83.03,61,56,5.61
112,Bambous Virieux,MU,2020-10-09 05:57:58,-20.34,57.76,79.0,74,40,14.99
113,Kununurra,AU,2020-10-09 05:57:58,-15.77,128.73,95.0,47,40,12.75
114,Campoverde,PE,2020-10-09 05:57:58,-8.48,-74.81,73.99,77,39,1.7
115,Torbay,CA,2020-10-09 05:57:58,47.67,-52.73,52.0,93,90,26.4
116,Upata,VE,2020-10-09 05:57:58,8.01,-62.4,70.38,95,19,2.44
117,Muisne,EC,2020-10-09 05:57:58,0.6,-80.03,73.18,87,98,8.97
118,Maragogi,BR,2020-10-09 05:57:59,-9.01,-35.22,74.53,90,28,6.31
119,Yellowknife,CA,2020-10-09 05:57:58,62.46,-114.35,35.6,93,75,9.17
120,Kavieng,PG,2020-10-09 05:57:59,-2.57,150.8,84.6,71,100,5.66
121,Coihaique,CL,2020-10-09 05:57:59,-45.58,-72.07,48.2,61,75,3.36
122,Leh,IN,2020-10-09 05:57:59,34.17,77.58,48.87,35,0,5.08
123,Chokurdakh,RU,2020-10-09 05:57:57,70.63,147.92,25.43,95,41,8.08
124,Kibala,TD,2020-10-09 05:57:59,9.11,18.35,71.6,94,40,3.18
125,Atbasar,KZ,2020-10-09 05:57:59,51.8,68.33,39.0,68,74,10.22
126,Xihe,CN,2020-10-09 05:57:59,31.69,113.47,71.89,56,71,5.55
127,Sitka,US,2020-10-09 05:57:59,57.05,-135.33,48.2,70,90,11.41
128,Chik,RU,2020-10-09 05:58:00,54.99,82.43,35.6,80,90,15.66
129,Albany,US,2020-10-09 05:57:47,42.6,-73.97,43.0,89,0,3.8
130,Novoagansk,RU,2020-10-09 05:58:00,61.94,76.66,31.91,96,44,6.08
131,Morondava,MG,2020-10-09 05:58:00,-20.28,44.28,77.79,61,0,3.83
132,New Norfolk,AU,2020-10-09 05:57:48,-42.78,147.06,55.0,92,100,0.89
133,Clyde River,CA,2020-10-09 05:57:41,70.47,-68.59,24.8,100,90,11.41
134,Mount Isa,AU,2020-10-09 05:56:23,-20.73,139.5,89.6,15,15,12.75
135,Cabo San Lucas,MX,2020-10-09 05:58:00,22.89,-109.91,80.01,61,5,4.7
136,Lorengau,PG,2020-10-09 05:58:00,-2.02,147.27,84.36,73,95,4.09
137,Cankuzo,BI,2020-10-09 05:58:00,-3.13,30.58,74.25,50,80,2.01
138,Salalah,OM,2020-10-09 05:57:55,17.02,54.09,80.6,69,20,3.36
139,Saskylakh,RU,2020-10-09 05:57:58,71.92,114.08,15.3,93,63,7.25
140,Mar Del Plata,AR,2020-10-09 05:58:00,-38.0,-57.56,55.0,75,89,6.93
141,San Patricio,US,2020-10-09 05:58:01,28.02,-97.52,78.8,83,75,10.29
142,Luanda,AO,2020-10-09 05:54:16,-8.84,13.23,73.4,94,75,4.7
143,Port Elizabeth,ZA,2020-10-09 05:58:01,-33.92,25.57,60.8,87,20,6.93
144,Berlevag,NO,2020-10-09 05:58:01,70.86,29.09,50.0,93,75,8.05
145,Kushima,JP,2020-10-09 05:58:01,31.46,131.23,77.0,64,75,23.04
146,Roebourne,AU,2020-10-09 05:58:01,-20.78,117.13,82.96,36,15,13.94
147,Bubaque,GW,2020-10-09 05:57:40,11.28,-15.83,81.41,81,85,12.35
148,Nampa,US,2020-10-09 05:58:02,43.54,-116.56,52.0,76,65,4.7
149,Batagay-Alyta,RU,2020-10-09 05:58:02,67.8,130.41,28.36,81,100,4.14
150,Mnogovershinnyy,RU,2020-10-09 05:58:02,53.94,139.92,48.4,52,0,5.61
151,Kapaa,US,2020-10-09 05:57:42,22.08,-159.32,80.6,69,20,9.17
152,Ancud,CL,2020-10-09 05:57:42,-41.87,-73.82,48.0,100,90,6.93
153,Iquitos,PE,2020-10-09 05:56:18,-3.75,-73.25,71.42,97,73,2.21
154,Sorland,NO,2020-10-09 05:58:02,67.67,12.69,51.8,93,75,2.24
155,Pacific Grove,US,2020-10-09 05:54:00,36.62,-121.92,57.99,93,90,2.24
156,Talnakh,RU,2020-10-09 05:58:02,69.49,88.4,23.0,100,75,8.95
157,Whangarei,NZ,2020-10-09 05:58:02,-35.73,174.32,59.0,70,78,11.01
158,Adre,TD,2020-10-09 05:58:03,13.47,22.2,78.69,62,66,4.36
159,Hit,IQ,2020-10-09 05:58:03,33.64,42.83,79.52,26,0,10.63
160,Chernushka,RU,2020-10-09 05:58:03,56.51,56.08,46.49,67,87,15.86
161,Grindavik,IS,2020-10-09 05:58:03,63.84,-22.43,41.0,86,75,18.34
162,Qasigiannguit,GL,2020-10-09 05:58:03,68.82,-51.19,35.6,51,49,5.82
163,Kodiak,US,2020-10-09 05:57:57,57.79,-152.41,46.4,87,90,1.77
164,Hobart,AU,2020-10-09 05:53:04,-42.88,147.33,57.2,82,75,6.93
